student_id,test_date,test_score,study_mode,remarks
ST103,2026-08-05,67.1,Offline,Average
ST104,2026-08-22,69.8,Online,Excellent
ST105,2026-08-11,65.8,Offline,Average
ST106,2026-07-02,60.3,Offline,
ST107,2026-07-12,64.7,Online,Average
ST108,2026-08-30,57.5,Offline,Good
ST109,2026-07-15,59.2,Online,Good
ST110,2026-07-05,86.5,Offline,Excellent
ST111,2026-08-02,95.5,Online,Average
ST112,2026-08-26,60.9,Online,Needs Improvement
ST113,2026-07-10,64.2,Online,Good
ST114,2026-08-23,71.2,Online,Needs Improvement
ST115,2026-07-03,56.2,Offline,Average
ST116,2026-08-13,58.4,Online,Needs Improvement
ST117,2026-08-09,93.4,Offline,Needs Improvement
ST118,2026-07-15,88.8,Online,Average
ST119,2026-08-21,68.3,Offline,Good
ST120,2026-07-24,60.7,Offline,Needs Improvement
ST121,2026-08-19,89.6,Offline,Needs Improvement
ST122,2026-08-02,86.6,Offline,Good
ST123,2026-08-22,67.6,Online,Good
ST124,2026-08-25,74.7,Offline,Excellent
ST125,2026-08-11,64.8,Offline,Average
ST126,2026-08-05,63.0,Online,Excellent
ST127,2026-07-19,78.4,Online,Good
ST128,2026-07-18,95.2,Offline,Good
ST129,2026-08-23,58.7,Offline,Excellent
ST130,2026-08-30,91.5,Online,Needs Improvement
ST131,2026-08-26,61.6,Offline,Excellent
ST132,2026-07-27,63.8,Online,Needs Improvement
ST133,2026-08-02,90.4,Offline,Good
ST134,2026-07-25,71.9,Online,Average
ST135,2026-07-15,95.8,Online,Average
ST136,2026-08-29,,Online,Average
ST137,2026-08-20,74.3,Online,Good
ST138,2026-07-03,86.9,Offline,Needs Improvement
ST139,2026-08-14,65.9,Online,Needs Improvement
ST140,2026-07-29,71.1,Online,Excellent
ST141,2026-07-02,88.7,Offline,Good
ST142,2026-08-23,64.4,Online,Needs Improvement
ST143,2026-07-08,92.7,Offline,Good
ST144,2026-07-20,68.2,Online,Excellent
ST145,2026-07-16,81.3,Offline,Needs Improvement
ST146,2026-07-05,79.5,Online,Needs Improvement
ST147,2026-08-08,64.2,Online,Good
ST148,2026-08-15,71.1,Online,Average
ST149,2026-07-28,77.6,Online,Average
ST150,2026-07-16,87.8,Offline,Good
ST091,2026-08-02,59.4,Online,Excellent
