student_id,attendance,assignment_score,internal_marks,external_marks,study_hours
ST043,83.0,65.8,92.6,85.3,5.5
ST044,94.7,87.3,85.1,86.3,6.7
ST045,91.7,83.7,95.0,98.0,7.2
ST046,83.0,78.6,88.9,87.3,5.0
ST047,83.9,72.3,95.0,90.3,7.7
ST048,79.8,40.0,67.8,51.0,1.8
ST049,56.9,48.7,68.3,59.8,1.7
ST050,64.3,60.2,66.9,62.1,3.0
ST051,90.0,77.8,85.6,88.7,5.3
ST052,68.6,69.7,66.6,71.7,3.8
ST053,57.8,76 marks,55.2,56.4,1.7
ST054,83.2,63.4,63.6,80.1,3.3
ST055,97.0,100.0,94.6,98.0,8.2
ST056,79.2,53.9,74.1,77.6,3.2
ST057,77.9,60.9,70.9,79.1,4.8
ST058,88.0,55.3,77.4,81.4,4.5
ST059,75.1,83.3,78.1,82.8,4.1
ST060,68.9,51.5,65.7,63.0,2.6
ST061,80.6,96.8,95.0,98.0,8.1
ST062,79.4,75.9,85.2,78.0,5.3
ST063,70.8,49.3,57.8,60.3,2.0
ST064,92.0,79.7,95.0,96.6,6.4
ST065,75.7,55.6,59.4,62.6,3.5
ST066,91.9,78.3,93.7,98.0,6.9
ST067,84.8,81.5,93.2,98.0,6.8
ST068,94.8,79.7,,96.1,7.3
ST069,100.0,95.6,92.0,98.0,8.2
ST070,81.3,69.2,79.3,80.2,3.8
ST071,60.2,53.5,45.8,75.8,2.1
ST072,86.2,81.8,95.0,93.1,7.7
ST073,79.8,75.5,90.1,92.8,5.8
ST074,55.0,42.3,54.3,58.8,2.1
ST075,73.9,92.5,89.2,90.7,6.9
ST076,80.3,61.8,84.1,92.7,4.8
ST077,84.2,80.3,95.0,98.0,8.2
ST078,95.9,87.2,95.0,96.1,8.2
ST079,100.0,90.9,95.0,98.0,8.3
ST080,89.4,75.9,95.0,81.9,5.9
ST081,70.2,49.9,77.4,56.3,3.4
ST082,67.0,68.0,68.0,57.8,2.0
ST083,90.4,88.5,95.0,89.7,6.3
ST084,99.7,80.0,89.0,98.0,7.6
ST085,96.8,89.9,87.3,95.8,8.3
ST086,71.4,61.1,67.3,76.0,3.4
ST087,68.0,72.1,84.6,89.8,4.7
ST088,76.5,58.0,85.9,76.2,4.0
ST089,80.7,79.3,89.5,83.5,5.1
ST090,80.2,76.6,70.8,83.2,4.3
ST091,55.0,67.3,67.8,61.7,2.5
ST092,84.2,64.0,87.5,65.2,3.9
ST093,90.9,89.6,95.0,81 marks,7.5
ST094,80.8,87.5,92.4,98.0,8.4
ST095,56.9,56.9,64.3,58.1,2.0
ST096,71.1,72.4,74.8,72.3,4.8
ST097,57.9,55.3,63.8,46.2,2.7
ST098,80.3,78.4,88.4,86.9,6.3
ST099,83.9,85.7,90.8,84.0,7.1
ST100,67.9,79.9,89.9,76.5,4.9
ST101,69.6,44.0,61.0,69.6,1.8
ST102,79.1,63.0,71.3,,5.2
ST103,70.0,60.3,62.7,65.5,3.4
ST104,85.0,70.0,75.7,87.7,3.8
ST105,81.7,61.7,62.1,78.5,2.1
ST106,60.4,44.1,68.7,78.6,2.4
ST107,74.4,65.0,72.0,73.0,4.0
ST108,62.9,52.4,59.8,58.0,2.6
ST109,55.0,62.3,65.5,63.2,2.7
ST110,87.4,89.8,95.0,89.5,7.6
ST111,100.0,99.0,95.0,95.9,8.0
ST112,63.1,43.0,53.7,66.4,2.8
ST113,55.4,61.0,52.6,63.9,2.3
ST114,74.0,69.3,73.7,76.7,4.9
ST115,59.9,58.5,66.9,66.6,1.9
ST116,65.1,67.0,86.4,80.7,5.7
ST117,91.2,82.9,95.0,98.0,7.3
ST118,92.9,79.4,94.9,93.8,7.4
ST119,71.3,64.6,50.3,69.4,2.6
ST120,99.9,80.5,86.8,91.7,7.6
ST121,84.9,61.1,69.9,81.0,4.7
ST122,98.2,67.2,95.0,98.0,7.8
ST123,67.2,59.2,57.0,60.9,2.3
ST124,93.5,99.2,95.0,97.7,7.1
ST125,59.8,49.8,73.8,67.5,2.6
ST126,98.7,79.7,95.0,91.7,
ST127,86.1,76.6,95.0,98.0,7.1
ST128,86.7,90.0,83.5,78.4,6.0
ST129,69.6,64.1,60.3,48.7,2.8
ST130,95.8,77.5,95.0,98.0,8.1
ST131,75.2,55.5,62.3,65.4,1.6
ST132,80.7,67.1,79.0,64.4,2.6
ST133,92.8,92.2,95.0,98.0,8.0
ST134,74.5,62.2,69.2,63.3,4.3
ST135,78.8,76.2,92.0,76.4,5.3
ST136,75.7,55.8,77.2,76.8,4.7
ST137,84.6,68.2,90.2,67.7,5.0
ST138,81.4,65.6,95.0,87.2,5.9
ST139,59.1,58.4,58.8,62.1,2.0
ST140,68.2,53.1,61.3,67.9,2.8
ST141,97.8,58.7,82.0,85.6,6.9
ST142,78.5,68.7,73.7,77.2,5.4
ST143,81.3,74.4,91.1,81.1,6.0
ST144,89.3,66.5,86.4,93.3,6.1
ST145,81.8,73.7,94.1,80.4,6.1
ST146,88.5,92.5,90.4,98.0,7.5
ST147,60.6,75.9,60.5,63.4,3.6
ST148,64.3,69.9,64.5,88.0,4.2
ST149,68.6,67.3,88.2,81.2,5.4
ST150,86.5,80.6,95.0,80.7,7.1
ST041,91.2,93.3,95.0,98.0,8.2
